university,career,inscription_date,full_name,gender,age,postal_code,email
universidad de buenos aires,actuario ,20-Sep-24,amy-wallace,f,1,8431,brookejones@yahoo.com
universidad de buenos aires,actuario ,21-Jul-14,jody-kirk,f,-45,3425,tinaturner@hotmail.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,20-Sep-27,angela-hudson,f,17,3151,cpatterson@yahoo.com
universidad de buenos aires,medicina,20-Oct-18,jessica-sandoval,f,-23,6601,melinda04@hotmail.com
universidad de buenos aires,bioquímica,21-May-04,michael-coleman,m,17,1816,evansjoshua@hotmail.com
universidad de buenos aires,medicina,21-Jun-13,amy-lopez,f,-19,8409,jschultz@hotmail.com
universidad de buenos aires,arquitectura,21-Feb-13,stephanie-montoya,f,14,2723,mlewis@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,21-Sep-29,lisa-jones,f,38,4650,fjones@hotmail.com
universidad de buenos aires,licenciatura en musicoterapia,21-Aug-04,luis-lopez,m,3,8303,catherinereyes@hotmail.com
universidad de buenos aires,farmacia,21-Apr-21,ashley-hodges,f,14,3708,dmcintosh@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,21-Sep-22,james-carroll,m,-19,9210,daniel04@yahoo.com
universidad de buenos aires,agronomía,21-Nov-02,roberta-smith,f,-22,6241,pramirez@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,20-Sep-20,david-cooper,m,-7,6105,lukegutierrez@yahoo.com
universidad de buenos aires,técnico para bioterios ,21-Jun-08,clayton-sandoval,m,7,7003,michaelthomas@yahoo.com
universidad de buenos aires,contador público ,21-Nov-11,connie-ray,f,-25,1612,jennifer23@yahoo.com
universidad de buenos aires,licenciatura en producción de bioimagenes,21-May-07,katie-molina,f,3,5701,tamaracrosby@gmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,21-Nov-02,whitney-franklin,f,-17,3592,perezsusan@hotmail.com
universidad de buenos aires,licenciatura en psicología,21-Nov-05,evan-quinn,m,-37,6641,jordan56@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,20-Dec-12,benjamin-nicholson,m,-46,5345,bgonzalez@hotmail.com
universidad de buenos aires,licenciatura en administración ,21-Aug-17,daniel-villanueva,m,3,2921,gregorymartinez@gmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,21-Jun-05,mary-cook,f,9,3309,hobbsjody@gmail.com
universidad de buenos aires,ingeniería mecánica,21-May-30,james-ward,m,50,6216,qwilliams@hotmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo ,21-Dec-21,michelle-rollins,f,11,6343,angelagray@gmail.com
universidad de buenos aires,técnico para bioterios ,21-Oct-15,phillip-horton,m,22,4411,pnewton@yahoo.com
universidad de buenos aires,licenciatura en terapia ocupacional,20-Dec-04,douglas-boyer,m,9,3580,taylor62@yahoo.com
universidad de buenos aires,contador público ,21-Apr-13,jessica-mcgee,f,-44,4195,matthew67@gmail.com
universidad de buenos aires,agronomía,21-Sep-03,joseph-smith,m,-22,6223,mbrown@hotmail.com
universidad de buenos aires,licenciatura en ciencias de la educación ,20-Sep-18,kenneth-wright,m,-27,7172,butlermartha@gmail.com
universidad de buenos aires,técnico para bioterios ,21-Jan-28,heather-bradford,f,4,6422,nicole86@yahoo.com
universidad de buenos aires,diseño industrial,21-Mar-15,sean-gordon,m,38,5444,xsingleton@gmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo ,21-Aug-28,daniel-turner,m,-35,8318,leejamie@yahoo.com
universidad de buenos aires,ingeniería electrónica,21-Jan-27,mary-smith,f,32,8113,margaret65@yahoo.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,20-Nov-04,pamela-delgado,f,33,5557,stefanie45@hotmail.com
universidad de buenos aires,técnico para bioterios ,21-Sep-15,kimberly-smith,f,21,6001,matthewscott@gmail.com
universidad de buenos aires,licenciatura en sociología ,21-May-13,kelly-barnes,f,14,8156,bmontoya@gmail.com
universidad de buenos aires,ingeniería electrónica,21-Jun-29,hunter-miller,m,-22,7223,hcampbell@hotmail.com
universidad de buenos aires,licenciatura en administración ,20-Nov-24,paul-myers,m,-1,5407,ypayne@yahoo.com
universidad de buenos aires,medicina,21-Jan-15,amy-hurst,f,41,4129,akeller@gmail.com
universidad de buenos aires,ingeniería electrónica,21-Sep-25,michael-ryan,m,7,3080,zgreen@yahoo.com
universidad de buenos aires,medicina,20-Oct-24,jessica-davis,f,12,4124,barbaranash@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,21-May-01,david-houston,m,-1,3100,xrivera@yahoo.com
universidad de buenos aires,agronomía,21-Oct-08,alison-warren,f,43,1854,yvonne78@hotmail.com
universidad de buenos aires,técnico para bioterios ,21-Jul-13,anthony-shaw,m,34,3448,joel85@yahoo.com
universidad de buenos aires,ingeniería en informática,21-May-20,jesus-romero,m,25,3172,christy34@gmail.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,21-Jul-16,steven-allen,m,28,3007,waltonlaura@gmail.com
