university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de buenos aires,actuario,2020-09-24,amy,wallace,female,1,8431,el hoyo,brookejones@yahoo.com
universidad de buenos aires,actuario,2021-07-14,jody,kirk,female,55,3425,costa grande,tinaturner@hotmail.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,2020-09-27,angela,hudson,female,17,3151,antelo,cpatterson@yahoo.com
universidad de buenos aires,medicina,2020-10-18,jessica,sandoval,female,77,6601,altamira,melinda04@hotmail.com
universidad de buenos aires,bioquímica,2021-05-04,michael,coleman,male,17,1816,colonia santa rosa,evansjoshua@hotmail.com
universidad de buenos aires,medicina,2021-06-13,amy,lopez,female,81,8409,puerto ojo de agua,jschultz@hotmail.com
universidad de buenos aires,arquitectura,2021-02-13,stephanie,montoya,female,14,2723,estancia las gamas,mlewis@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-09-29,lisa,jones,female,38,4650,abra de peñas,fjones@hotmail.com
universidad de buenos aires,licenciatura en musicoterapia,2021-08-04,luis,lopez,male,3,8303,cinco saltos,catherinereyes@hotmail.com
universidad de buenos aires,farmacia,2021-04-21,ashley,hodges,female,14,3708,concepcion del bermejo,dmcintosh@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-09-22,james,carroll,male,81,9210,cuesta del ternero,daniel04@yahoo.com
universidad de buenos aires,agronomía,2021-11-02,roberta,smith,female,78,6241,el dia,pramirez@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2020-09-20,david,cooper,male,93,6105,cañada seca,lukegutierrez@yahoo.com
universidad de buenos aires,técnico para bioterios,2021-06-08,clayton,sandoval,male,7,7003,aceilan,michaelthomas@yahoo.com
universidad de buenos aires,contador público,2021-11-11,connie,ray,female,75,1612,ingeniero adolfo sourdeaux,jennifer23@yahoo.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-05-07,katie,molina,female,3,5701,11 de mayo,tamaracrosby@gmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-11-02,whitney,franklin,female,83,3592,colonia hardy,perezsusan@hotmail.com
universidad de buenos aires,licenciatura en psicología,2021-11-05,evan,quinn,male,63,6641,comodoro py,jordan56@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-12-12,benjamin,nicholson,male,54,5345,baños termales,bgonzalez@hotmail.com
universidad de buenos aires,licenciatura en administración,2021-08-17,daniel,villanueva,male,3,2921,godoy,gregorymartinez@gmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2021-06-05,mary,cook,female,9,3309,arroyo tomas,hobbsjody@gmail.com
universidad de buenos aires,ingeniería mecánica,2021-05-30,james,ward,male,50,6216,bagual,qwilliams@hotmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2021-12-21,michelle,rollins,female,11,6343,los gauchos,angelagray@gmail.com
universidad de buenos aires,técnico para bioterios,2021-10-15,phillip,horton,male,22,4411,sey,pnewton@yahoo.com
universidad de buenos aires,licenciatura en terapia ocupacional,2020-12-04,douglas,boyer,male,9,3580,kilometro 408,taylor62@yahoo.com
universidad de buenos aires,contador público,2021-04-13,jessica,mcgee,female,56,4195,7 de abril,matthew67@gmail.com
universidad de buenos aires,agronomía,2021-09-03,joseph,smith,male,78,6223,coronel charlone,mbrown@hotmail.com
universidad de buenos aires,licenciatura en ciencias de la educación,2020-09-18,kenneth,wright,male,73,7172,colonia ferrari,butlermartha@gmail.com
universidad de buenos aires,técnico para bioterios,2021-01-28,heather,bradford,female,4,6422,primera junta,nicole86@yahoo.com
universidad de buenos aires,diseño industrial,2021-03-15,sean,gordon,male,38,5444,ampacama,xsingleton@gmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2021-08-28,daniel,turner,male,65,8318,challaco,leejamie@yahoo.com
universidad de buenos aires,ingeniería electrónica,2021-01-27,mary,smith,female,32,8113,baterias,margaret65@yahoo.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-11-04,pamela,delgado,female,33,5557,caracoles,stefanie45@hotmail.com
universidad de buenos aires,técnico para bioterios,2021-09-15,kimberly,smith,female,21,6001,agustin roca,matthewscott@gmail.com
universidad de buenos aires,licenciatura en sociología,2021-05-13,kelly,barnes,female,14,8156,el perdido est jose guisasola,bmontoya@gmail.com
universidad de buenos aires,ingeniería electrónica,2021-06-29,hunter,miller,male,78,7223,bonnement,hcampbell@hotmail.com
universidad de buenos aires,licenciatura en administración,2020-11-24,paul,myers,male,99,5407,dique toma,ypayne@yahoo.com
universidad de buenos aires,medicina,2021-01-15,amy,hurst,female,41,4129,cañada,akeller@gmail.com
universidad de buenos aires,ingeniería electrónica,2021-09-25,michael,ryan,male,7,3080,colonia pujol,zgreen@yahoo.com
universidad de buenos aires,medicina,2020-10-24,jessica,davis,female,12,4124,abra el candado,barbaranash@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-05-01,david,houston,male,99,3100,avenida ejercito parana,xrivera@yahoo.com
universidad de buenos aires,agronomía,2021-10-08,alison,warren,female,43,1854,longchamps,yvonne78@hotmail.com
universidad de buenos aires,técnico para bioterios,2021-07-13,anthony,shaw,male,34,3448,alamo,joel85@yahoo.com
universidad de buenos aires,ingeniería en informática,2021-05-20,jesus,romero,male,25,3172,kilometro 208,christy34@gmail.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-07-16,steven,allen,male,28,3007,empalme san carlos,waltonlaura@gmail.com
