university,career,inscription_date,first_name,last_name,gender,age,location,email
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,21/Jan/08,Randy,williams,M,75,Juan-maria-gutierrez,Joshua07@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Oct/04,Nichole,stanley,F,32,El-rincon,Dbutler@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Oct/13,Christine,davis,F,12,Agua-verde,Marvin72@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Nov/22,Kevin,weaver,M,61,Capitan-lazo,Millererika@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,21/Jan/30,David,oliver,M,79,Llavallol,Jorge05@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Oct/12,Alyssa,callahan,F,38,Albigasta,Jodi34@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/13,Tracy,pope,F,79,La-viticola,Jamesgentry@hotmail.com
-universidad-abierta-interamericana,Bioquímica,21/Jan/26,Shawn,fleming,M,48,Cantera-aguirre,Betty11@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Sep/21,Brenda,santana,F,32,25-de-mayo,James37@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/21,Tyrone,roberts,M,18,Barra-bonita,Millerrandall@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/20,Brandon,carter,M,36,Alcorta,Reedaustin@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/13,Henry,edwards,M,73,El-sombrerito,Garyball@gmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/17,Donna,sparks,F,45,Alto-del-puesto,Hrodriguez@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/12,Brandy,gibson,F,3,Balsa,Erinjackson@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/04,Robert,price,M,23,Cramer,Sheparddiane@hotmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Dec/14,Johnny,williams,M,56,Capitan-castro,Andreaboyd@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Dec/11,Lisa,green,F,80,El-durazno,Hudsonbrianna@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,21/Jan/24,David,chung,M,37,Alarcon,Johnsonbrandon@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/30,Jennifer,ramirez,F,0,Colonia-baron,Woodangelica@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Nov/28,Jose,white,M,64,Planchada-banderita,Jenniferbrown@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Dec/29,Drew,espinoza,M,28,Britos,Jmiller@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/01,Dale,smith,M,89,Alumine,Michaeljohnson@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/10,Lynn,sharp,F,1,Azul,Tamara73@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Oct/29,Julie,vargas,F,58,Bathurst-estacion,Iochoa@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Sep/22,Benjamin,curry,M,17,El-porvenir,Rebekah32@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/13,Rhonda,guerrero,F,0,Estacion-yerua,Isabelwilliams@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/16,Katie,williams,F,27,El-bombero,Michaelthomas@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Nov/23,Jennifer,king,F,5,Campo-calvo,Daniel32@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/28,Cynthia,riley,F,69,Masurel,Erica19@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/13,Mr.,daniel,M,59,Arroyo-balmaceda,Darrylhogan@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/15,Melanie,fox,F,60,Colonia-duran,Hhays@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Dec/15,Brenda,schultz,F,78,Calilegua,Gwhite@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/31,Christopher,smith,M,15,La-dorita,Jgross@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Nov/06,Kathleen,lee,F,2,Castilla,Linda06@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/09,Dale,rodriguez,M,8,Colonia-el-aguara,Howellmichael@yahoo.com
-universidad-abierta-interamericana,Actuario-,20/Sep/16,Kristina,williams,F,98,Ascencion,Stephanie11@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Oct/03,Steven,smith,M,72,Ceres,Jose07@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/24,Angela,davis,F,43,Villa-santos-tesei,Terrimadden@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/02,Tracy,mclean,F,31,Alabama,Brownjames@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/05,Edgar,leach,M,25,Agua-de-castilla,Michael26@gmail.com
-universidad-abierta-interamericana,Bioquímica,20/Dec/16,Katherine,vega,F,64,El-lenguaraz,Sarah28@yahoo.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Dec/20,Joshua,wheeler,M,45,Berabevu,Fgarza@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/23,Stephanie,johnson,F,98,Igarzabal,Hilldanielle@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Nov/18,Jessica,lewis,F,14,Angeloni,Jenkinssusan@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/22,Anna,miles,F,11,Antumpa,Hollypace@hotmail.com
-universidad-abierta-interamericana,Ingeniería-electrónica,20/Sep/10,Morgan,solomon,F,73,17-de-agosto,Lawrence30@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,20/Sep/28,Riley,williams,M,80,Carrizal-norte,Johnnythompson@gmail.com
-universidad-abierta-interamericana,Ingeniería-en-informática,20/Sep/25,Timothy,williams,M,35,Adan-quiroga,Reneemorton@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,20/Oct/03,Paul,howard,M,45,Condarco,Theresahooper@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/10,Andrea,rose,F,35,Est-jauregui-va-flandria,Mendezdonald@hotmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Dec/23,Samuel,moyer,M,14,La-tranca,Tstrickland@hotmail.com
-universidad-abierta-interamericana,Medicina,20/Dec/05,Lori,morales,F,8,Barrio-ferri,Susanguerra@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-sociología-,20/Nov/17,Terri,hensley,F,34,Arijon,Eflores@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,21/Jan/18,Linda,fitzgerald,F,71,Destileria-fiscal,Jennifer86@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,21/Jan/11,Alicia,hill,F,45,Carlos-pellegrini,Fdavis@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Dec/05,James,conrad,M,8,Los-cardos,Sali@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Nov/23,Arthur,andrews,M,76,Amuschina,Wallersandra@yahoo.com
